geoid,Data File Year,STATE,STATEA,COUNTY,County_Code,CensusTractCode,BlockGroupCode,Estimates: Area Name,Total_Population,White_pop,Black_pop, AmericanIndian_pop,Asian_pop,PacificIslander_pop,OtherRace_pop,EduTotal,Edu_8thGrade,Edu_HighSchoolOrGED,Edu_AssociateDegree,Edu_BachelorDegree,Edu_MasterDegree,Edu_ProfDegree,Edu_DoctorateDegree,Median_HH_Income,PerCapita_Income,Workers_Total,Worked_past_year,Worked_FT_past_year,Did_Not_Work
17003107111002,2006-2010,Illinois,17,Cook County,31,711100,2,"Block Group 2, Census Tract 7111, Cook County, Illinois",1347,0,1347,0,0,0,0,856,7,387,32,117,42,0,0,40694,14777,865,407,286,458
17003107111003,2006-2010,Illinois,17,Cook County,31,711100,3,"Block Group 3, Census Tract 7111, Cook County, Illinois",715,0,715,0,0,0,0,431,15,125,0,24,0,0,0,13894,8535,435,297,222,138
17003107112001,2006-2010,Illinois,17,Cook County,31,711200,1,"Block Group 1, Census Tract 7112, Cook County, Illinois",1427,0,1368,0,0,0,0,896,15,301,107,113,63,45,0,48750,17156,855,469,447,386
17003107112002,2006-2010,Illinois,17,Cook County,31,711200,2,"Block Group 2, Census Tract 7112, Cook County, Illinois",649,16,633,0,0,0,0,537,15,222,13,31,0,0,0,23056,23498,394,369,344,25
17003107112003,2006-2010,Illinois,17,Cook County,31,711200,3,"Block Group 3, Census Tract 7112, Cook County, Illinois",1064,0,1064,0,0,0,0,736,13,206,15,96,150,5,0,54609,23080,731,362,316,369
17003107112004,2006-2010,Illinois,17,Cook County,31,711200,4,"Block Group 4, Census Tract 7112, Cook County, Illinois",2028,46,1982,0,0,0,0,1582,20,304,172,387,213,13,0,51033,27707,1137,841,677,296
17003107113001,2006-2010,Illinois,17,Cook County,31,711300,1,"Block Group 1, Census Tract 7113, Cook County, Illinois",866,0,809,0,0,0,0,496,0,74,72,44,0,0,0,22284,14891,591,325,297,266
17003107113002,2006-2010,Illinois,17,Cook County,31,711300,2,"Block Group 2, Census Tract 7113, Cook County, Illinois",774,0,758,0,16,0,0,530,10,171,8,52,14,0,0,38417,15644,540,280,180,260
17003107114001,2006-2010,Illinois,17,Cook County,31,711400,1,"Block Group 1, Census Tract 7114, Cook County, Illinois",816,0,771,0,0,0,0,617,17,257,54,52,28,0,0,37266,17138,459,291,195,168
17003107114002,2006-2010,Illinois,17,Cook County,31,711400,2,"Block Group 2, Census Tract 7114, Cook County, Illinois",920,0,920,0,0,0,0,600,36,143,27,64,9,0,0,34656,18605,657,389,313,268
17003107114003,2006-2010,Illinois,17,Cook County,31,711400,3,"Block Group 3, Census Tract 7114, Cook County, Illinois",654,0,654,0,0,0,0,409,0,112,9,34,18,0,0,35887,17934,363,247,129,116
17003107115001,2006-2010,Illinois,17,Cook County,31,711500,1,"Block Group 1, Census Tract 7115, Cook County, Illinois",1588,0,1588,0,0,0,0,916,15,342,10,111,12,0,0,35000,18009,1077,649,415,428
17003107115002,2006-2010,Illinois,17,Cook County,31,711500,2,"Block Group 2, Census Tract 7115, Cook County, Illinois",1491,0,1491,0,0,0,0,898,27,136,187,132,9,22,0,53323,16691,812,495,438,317
17003107201001,2006-2010,Illinois,17,Cook County,31,720100,1,"Block Group 1, Census Tract 7201, Cook County, Illinois",1169,833,310,0,0,0,0,780,0,111,26,304,86,105,29,114803,54262,754,664,466,90
17003107201002,2006-2010,Illinois,17,Cook County,31,720100,2,"Block Group 2, Census Tract 7201, Cook County, Illinois",1688,1265,423,0,0,0,0,1135,0,95,65,275,235,164,108,122031,57558,1033,889,735,144
